# sensor:magnetometer
# Requested Sample Rate: 25 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
11:51:19:247,-23.72,6.19,-46.10,52.21
11:51:19:287,-23.47,6.14,-45.85,51.87
11:51:19:327,-23.96,6.37,-45.80,52.08
11:51:19:367,-23.63,6.28,-45.81,51.93
11:51:19:407,-23.74,6.11,-46.03,52.15
11:51:19:447,-23.35,6.23,-45.54,51.56
11:51:19:487,-23.85,5.98,-46.26,52.39
11:51:19:527,-23.52,6.19,-45.95,51.99
11:51:19:567,-23.96,6.06,-45.58,51.85
11:51:19:607,-23.74,6.05,-45.77,51.92
11:51:19:647,-23.64,6.03,-46.25,52.29
11:51:19:687,-23.70,6.11,-45.71,51.86
11:51:19:727,-23.92,6.09,-45.75,51.99
11:51:19:767,-23.90,6.36,-46.35,52.53
11:51:19:807,-23.66,5.83,-45.96,52.02
11:51:19:847,-23.67,6.17,-45.93,52.04
11:51:19:887,-23.58,6.36,-45.43,51.58
11:51:19:927,-23.56,6.16,-45.81,51.88
11:51:19:967,-23.85,5.97,-45.88,52.06
11:51:20:007,-23.64,5.77,-46.18,52.20
11:51:20:047,-23.68,6.25,-45.93,52.05
11:51:20:087,-23.53,5.90,-46.01,52.01
11:51:20:127,-23.73,5.84,-45.81,51.92
11:51:20:167,-23.64,5.95,-46.21,52.25
11:51:20:207,-24.01,5.81,-45.98,52.20
11:51:20:247,-23.78,5.90,-46.06,52.17
11:51:20:287,-23.84,6.10,-45.91,52.09
11:51:20:327,-23.61,6.12,-46.34,52.36
11:51:20:367,-23.63,6.39,-46.25,52.33
11:51:20:407,-23.44,6.23,-45.66,51.70
11:51:20:447,-23.67,6.04,-45.48,51.63
11:51:20:487,-23.62,5.99,-45.82,51.90
11:51:20:527,-23.90,6.36,-45.87,52.11
11:51:20:567,-23.88,5.83,-46.15,52.29
11:51:20:607,-23.41,6.34,-46.03,52.03
11:51:20:647,-23.68,6.10,-46.04,52.13
11:51:20:687,-23.28,5.88,-45.64,51.57
11:51:20:727,-23.75,5.95,-45.47,51.64
11:51:20:767,-23.78,6.01,-45.48,51.67
11:51:20:807,-24.12,5.98,-46.60,52.81
11:51:20:847,-24.18,5.67,-46.09,52.36
11:51:20:887,-23.94,5.99,-45.91,52.12
11:51:20:927,-23.68,5.97,-45.86,51.96
11:51:20:967,-23.68,6.03,-45.92,52.02
11:51:21:007,-23.97,5.70,-45.75,51.96
11:51:21:047,-23.52,6.54,-46.06,52.13
11:51:21:087,-23.46,6.11,-46.07,52.06
11:51:21:127,-23.70,6.26,-46.32,52.41
11:51:21:167,-23.96,6.21,-45.87,52.12
11:51:21:207,-23.53,5.89,-45.85,51.87
11:51:21:247,-23.94,5.97,-46.20,52.37
11:51:21:287,-23.90,5.99,-45.77,51.98
11:51:21:327,-23.58,5.83,-45.71,51.77
11:51:21:367,-23.84,6.22,-46.04,52.22
11:51:21:407,-23.36,6.27,-45.77,51.77
11:51:21:447,-23.58,6.05,-45.73,51.80
11:51:21:487,-23.89,6.22,-45.85,52.07
11:51:21:527,-23.79,6.00,-45.55,51.74
11:51:21:567,-23.92,6.09,-45.53,51.79
11:51:21:607,-23.56,6.00,-46.19,52.20
11:51:21:647,-23.67,6.17,-45.99,52.09
11:51:21:687,-23.79,5.95,-45.91,52.05
11:51:21:727,-23.94,5.75,-46.15,52.31
11:51:21:767,-23.47,5.99,-45.64,51.67
11:51:21:807,-23.41,6.27,-45.95,51.95
11:51:21:847,-23.33,6.33,-45.96,51.93
11:51:21:887,-23.66,5.64,-45.60,51.68
11:51:21:927,-23.59,6.03,-45.69,51.77
11:51:21:967,-23.52,5.98,-45.60,51.66
11:51:22:007,-23.88,6.05,-45.92,52.11
11:51:22:047,-24.13,5.73,-46.31,52.54
11:51:22:087,-24.07,5.73,-45.70,51.97
11:51:22:127,-24.11,6.03,-45.85,52.15
11:51:22:167,-23.86,5.89,-45.90,52.06
11:51:22:207,-23.79,5.64,-45.71,51.84
11:51:22:247,-23.74,6.17,-45.92,52.06
11:51:22:287,-23.64,6.09,-46.03,52.10
11:51:22:327,-23.88,6.00,-45.90,52.08
11:51:22:367,-23.69,5.90,-45.68,51.79
11:51:22:407,-23.59,5.95,-45.66,51.74
11:51:22:447,-23.25,6.42,-46.48,52.37
11:51:22:487,-23.77,5.92,-46.24,52.32
11:51:22:527,-24.09,5.84,-46.08,52.33
11:51:22:567,-24.01,6.19,-45.76,52.05
11:51:22:607,-23.52,6.28,-45.93,51.99
11:51:22:647,-23.42,6.11,-45.98,51.97
11:51:22:687,-23.75,6.20,-45.98,52.12
11:51:22:727,-23.77,5.93,-46.02,52.13
11:51:22:767,-23.74,6.01,-45.77,51.91
11:51:22:807,-24.09,5.77,-45.95,52.20
11:51:22:847,-23.69,6.16,-45.82,51.95
11:51:22:887,-23.83,5.93,-45.86,52.02
11:51:22:927,-23.72,6.23,-45.76,51.92
11:51:22:967,-23.81,6.12,-45.37,51.61
11:51:23:007,-23.68,6.19,-45.85,51.97
11:51:23:047,-23.78,6.48,-45.85,52.05
11:51:23:087,-23.96,6.16,-45.42,51.72
11:51:23:127,-23.80,5.95,-45.90,52.04
11:51:23:167,-23.79,6.05,-46.09,52.22
11:51:23:207,-23.91,5.77,-45.64,51.85
11:51:23:247,-23.72,5.99,-46.07,52.16
11:51:23:287,-24.02,6.01,-45.99,52.24
11:51:23:327,-23.86,6.15,-45.66,51.89
11:51:23:367,-23.95,5.92,-45.93,52.14
11:51:23:407,-23.99,5.82,-45.87,52.09
11:51:23:447,-23.74,5.83,-45.70,51.83
11:51:23:487,-23.96,5.80,-45.77,51.99
11:51:23:527,-24.06,6.12,-46.14,52.40
11:51:23:567,-23.73,6.08,-46.01,52.12
11:51:23:607,-23.56,6.25,-46.25,52.28
11:51:23:647,-24.02,5.71,-46.08,52.28
11:51:23:687,-23.96,5.80,-45.98,52.17
11:51:23:727,-23.99,5.94,-45.90,52.13
11:51:23:767,-23.74,6.36,-45.90,52.06
11:51:23:807,-23.73,5.88,-45.59,51.73
11:51:23:847,-23.86,6.16,-45.60,51.84
11:51:23:887,-24.01,5.97,-45.90,52.14
11:51:23:927,-23.73,6.17,-45.73,51.88
11:51:23:967,-23.48,6.14,-46.10,52.10
11:51:24:007,-23.59,6.01,-46.14,52.17
11:51:24:047,-23.78,6.19,-46.07,52.21
11:51:24:087,-24.13,6.04,-45.92,52.23
11:51:24:127,-24.06,5.83,-45.64,51.92
11:51:24:167,-23.64,5.78,-45.55,51.65
11:51:24:207,-23.47,6.43,-45.84,51.90
11:51:24:247,-23.85,5.88,-46.06,52.20
11:51:24:287,-23.69,6.11,-45.80,51.93
11:51:24:327,-23.75,6.16,-45.86,52.01
11:51:24:367,-23.91,5.99,-46.04,52.23
11:51:24:407,-23.56,5.95,-45.73,51.78
11:51:24:447,-23.44,6.09,-45.82,51.83
11:51:24:487,-23.66,5.97,-45.73,51.83
11:51:24:527,-23.78,5.65,-45.77,51.89
11:51:24:567,-23.73,5.84,-45.57,51.71
11:51:24:607,-23.89,5.97,-45.62,51.84
11:51:24:647,-23.89,5.98,-45.41,51.66
11:51:24:687,-23.68,6.09,-46.30,52.36
11:51:24:727,-24.02,5.84,-45.99,52.22
11:51:24:767,-23.58,5.98,-46.18,52.19
11:51:24:807,-23.94,5.89,-45.84,52.04
11:51:24:847,-23.85,6.17,-45.60,51.83
11:51:24:887,-23.69,5.87,-45.64,51.76
11:51:24:927,-23.51,6.14,-45.70,51.76
11:51:24:967,-23.88,5.99,-45.57,51.79
11:51:25:007,-23.72,5.48,-46.01,52.05
11:51:25:047,-23.51,6.23,-45.69,51.76
11:51:25:087,-23.58,6.21,-45.85,51.93
11:51:25:127,-23.92,6.05,-45.77,52.00
11:51:25:167,-23.99,6.10,-45.47,51.77
11:51:25:207,-23.96,5.98,-45.55,51.82
11:51:25:247,-23.91,6.12,-45.70,51.94
11:51:25:287,-23.57,6.05,-45.91,51.96
11:51:25:327,-23.68,5.75,-45.52,51.63
11:51:25:367,-23.57,6.12,-45.74,51.82
11:51:25:407,-23.27,6.61,-45.68,51.69
11:51:25:447,-23.18,6.17,-45.54,51.47
11:51:25:487,-23.73,5.84,-45.30,51.47
11:51:25:527,-23.59,5.95,-45.42,51.53
11:51:25:567,-24.07,5.67,-45.86,52.10
11:51:25:607,-23.99,5.83,-45.26,51.56
11:51:25:647,-24.08,5.78,-45.03,51.39
11:51:25:687,-23.57,6.20,-45.42,51.55
11:51:25:727,-24.14,5.84,-46.57,52.78
11:51:25:767,-24.13,6.17,-45.84,52.17
