# sensor:magnetometer
# Requested Sample Rate: 50 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:01:05:180,-23.89,5.31,-45.93,52.04
12:01:05:200,-23.44,6.00,-45.60,51.62
12:01:05:220,-23.84,5.77,-45.71,51.88
12:01:05:240,-23.56,5.80,-46.14,52.13
12:01:05:260,-23.67,5.53,-45.62,51.69
12:01:05:280,-23.61,6.09,-45.18,51.33
12:01:05:300,-23.73,5.97,-45.81,51.94
12:01:05:320,-23.47,5.45,-45.51,51.49
12:01:05:340,-23.57,6.81,-45.79,51.95
12:01:05:360,-24.09,6.21,-45.59,51.94
12:01:05:380,-23.30,5.37,-46.04,51.88
12:01:05:400,-23.53,5.99,-45.81,51.85
12:01:05:420,-23.12,6.56,-46.54,52.38
12:01:05:440,-23.06,6.21,-46.45,52.22
12:01:05:460,-24.41,5.89,-45.81,52.24
12:01:05:480,-24.17,6.47,-45.90,52.27
12:01:05:500,-24.13,5.75,-45.81,52.10
12:01:05:520,-23.94,5.86,-45.92,52.11
12:01:05:540,-23.83,5.95,-45.81,51.98
12:01:05:560,-23.67,6.71,-45.90,52.07
12:01:05:580,-23.48,6.47,-45.27,51.41
12:01:05:600,-23.90,5.04,-45.52,51.66
12:01:05:620,-23.44,6.09,-45.81,51.82
12:01:05:640,-23.83,6.05,-45.92,52.09
12:01:05:660,-24.02,5.94,-45.81,52.07
12:01:05:680,-23.68,5.50,-46.46,52.43
12:01:05:700,-24.11,5.93,-45.60,51.92
12:01:05:720,-23.52,6.09,-45.60,51.67
12:01:05:740,-23.36,5.65,-45.30,51.28
12:01:05:760,-23.88,5.22,-45.52,51.66
12:01:05:780,-23.58,5.26,-45.52,51.53
12:01:05:800,-23.86,5.40,-45.62,51.76
12:01:05:820,-23.55,5.89,-45.81,51.84
12:01:05:840,-23.78,5.32,-45.84,51.91
12:01:05:860,-23.56,5.62,-45.40,51.45
12:01:05:880,-23.68,5.51,-46.14,52.15
12:01:05:900,-23.45,5.82,-45.51,51.52
12:01:05:920,-24.16,5.55,-46.14,52.38
12:01:05:940,-23.18,5.66,-45.71,51.57
12:01:05:960,-23.48,6.54,-45.69,51.79
12:01:05:980,-23.95,5.50,-45.19,51.44
12:01:06:000,-22.72,6.71,-46.12,51.84
12:01:06:020,-23.38,5.81,-46.35,52.23
12:01:06:040,-23.92,5.95,-45.70,51.93
12:01:06:060,-23.14,6.21,-46.24,52.08
12:01:06:080,-23.63,5.98,-45.70,51.80
12:01:06:100,-23.78,5.50,-46.14,52.20
12:01:06:120,-23.42,6.19,-45.91,51.91
12:01:06:140,-23.45,5.65,-45.08,51.13
12:01:06:160,-23.19,6.76,-46.01,51.96
12:01:06:180,-23.27,5.83,-46.14,52.00
12:01:06:200,-23.77,5.51,-45.51,51.63
12:01:06:220,-23.77,5.69,-46.14,52.21
12:01:06:240,-24.01,5.94,-45.49,51.78
12:01:06:260,-23.41,6.20,-45.38,51.44
12:01:06:280,-23.38,5.81,-46.46,52.33
12:01:06:300,-24.33,5.64,-45.40,51.81
12:01:06:320,-23.13,6.38,-46.45,52.28
12:01:06:340,-23.91,5.95,-45.60,51.84
12:01:06:360,-24.41,5.72,-45.38,51.85
12:01:06:380,-24.06,5.39,-45.51,51.76
12:01:06:400,-23.63,6.25,-46.45,52.48
12:01:06:420,-23.64,6.05,-46.67,52.66
12:01:06:440,-23.78,5.32,-45.84,51.91
12:01:06:460,-23.53,6.08,-46.13,52.14
12:01:06:480,-24.22,5.90,-46.13,52.43
12:01:06:500,-23.35,5.92,-45.71,51.67
12:01:06:520,-23.80,6.06,-45.07,51.33
12:01:06:540,-23.40,6.47,-45.80,51.84
12:01:06:560,-23.66,5.54,-44.98,51.12
12:01:06:580,-22.92,6.42,-46.02,51.81
12:01:06:600,-23.81,6.06,-45.38,51.61
12:01:06:620,-23.85,5.69,-45.71,51.87
12:01:06:640,-23.72,6.06,-45.70,51.84
12:01:06:660,-23.62,6.16,-45.70,51.81
12:01:06:680,-23.29,6.75,-46.12,52.10
12:01:06:700,-23.51,6.19,-45.49,51.58
12:01:06:720,-23.94,5.86,-45.92,52.11
12:01:06:740,-23.41,6.19,-45.49,51.54
12:01:06:760,-23.28,6.75,-45.69,51.72
12:01:06:780,-23.42,6.27,-45.91,51.92
12:01:06:800,-23.95,5.76,-46.24,52.39
12:01:06:820,-23.34,6.01,-45.60,51.58
12:01:06:840,-23.33,6.37,-46.23,52.17
12:01:06:860,-23.42,6.00,-45.38,51.42
12:01:06:880,-23.03,6.31,-46.24,52.04
12:01:06:900,-23.70,6.25,-45.59,51.76
12:01:06:920,-22.61,6.99,-46.64,52.30
12:01:06:940,-22.98,7.04,-46.53,52.37
12:01:06:960,-22.92,6.50,-46.23,52.01
12:01:06:980,-21.94,6.88,-46.43,51.81
12:01:07:000,-22.59,7.26,-46.74,52.42
12:01:07:020,-22.12,7.30,-47.37,52.79
12:01:07:040,-22.48,7.28,-46.31,51.99
12:01:07:060,-23.16,7.12,-45.99,51.98
12:01:07:080,-23.92,6.04,-46.02,52.22
12:01:07:100,-23.33,6.20,-45.70,51.68
12:01:07:120,-23.80,6.49,-46.54,52.68
12:01:07:140,-23.06,6.12,-46.35,52.13
12:01:07:160,-23.30,6.47,-45.80,51.79
12:01:07:180,-23.44,6.09,-46.02,52.00
12:01:07:200,-23.36,5.82,-45.82,51.76
12:01:07:220,-23.74,6.05,-46.45,52.51
12:01:07:240,-23.22,6.30,-45.70,51.65
12:01:07:260,-23.61,6.08,-45.27,51.42
12:01:07:280,-23.20,6.58,-45.80,51.76
12:01:07:300,-23.50,6.62,-46.21,52.27
12:01:07:320,-23.95,6.77,-45.79,52.11
12:01:07:340,-23.25,6.10,-46.35,52.21
12:01:07:360,-23.20,6.56,-46.01,51.94
12:01:07:380,-23.41,6.20,-45.07,51.16
12:01:07:400,-23.03,6.39,-46.34,52.14
12:01:07:420,-23.53,5.99,-45.70,51.75
12:01:07:440,-23.20,6.39,-45.38,51.37
12:01:07:460,-23.53,6.08,-45.92,51.96
12:01:07:480,-22.74,6.60,-46.97,52.60
12:01:07:500,-23.77,5.69,-46.14,52.21
12:01:07:520,-23.39,6.64,-45.90,51.94
12:01:07:540,-23.25,7.20,-46.31,52.32
