# sensor:magnetometer
# Requested Sample Rate: 80 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:09:12:653,-23.91,4.59,-44.90,51.07
12:09:12:663,-23.72,5.05,-46.06,52.05
12:09:12:673,-23.48,5.27,-45.30,51.30
12:09:12:683,-23.48,5.37,-45.30,51.31
12:09:12:703,-23.39,5.28,-45.20,51.17
12:09:12:713,-23.79,5.05,-45.31,51.43
12:09:12:723,-23.70,4.88,-45.21,51.28
12:09:12:733,-23.61,4.89,-45.10,51.14
12:09:12:753,-23.81,4.87,-45.42,51.52
12:09:12:763,-23.70,4.88,-45.31,51.37
12:09:12:773,-23.69,5.15,-45.63,51.67
12:09:12:783,-23.70,4.79,-44.79,50.90
12:09:12:803,-23.70,5.06,-45.52,51.57
12:09:12:813,-23.33,4.57,-44.37,50.34
12:09:12:823,-23.63,4.62,-45.12,51.14
12:09:12:833,-23.69,4.98,-44.88,51.00
12:09:12:853,-23.90,4.87,-44.99,51.18
12:09:12:863,-24.28,4.92,-45.20,51.54
12:09:12:873,-23.48,5.18,-44.88,50.92
12:09:12:883,-23.50,5.00,-44.99,51.01
12:09:12:903,-23.66,5.44,-44.76,50.92
12:09:12:913,-22.92,5.15,-45.52,51.22
12:09:12:925,-23.59,4.90,-44.79,50.86
12:09:12:935,-23.52,4.81,-45.32,51.29
12:09:12:955,-23.31,5.10,-45.74,51.59
12:09:12:965,-23.81,4.70,-45.10,51.22
12:09:12:975,-22.90,5.16,-44.46,50.27
12:09:12:985,-23.40,5.37,-45.84,51.74
12:09:13:005,-23.33,4.92,-45.31,51.20
12:09:13:015,-23.50,4.83,-44.04,50.15
12:09:13:025,-23.53,4.64,-45.01,51.00
12:09:13:035,-24.18,5.01,-45.09,51.41
12:09:13:055,-24.11,4.66,-44.99,51.26
12:09:13:065,-23.51,4.92,-44.79,50.82
12:09:13:075,-22.97,5.78,-45.51,51.30
12:09:13:085,-23.52,4.73,-44.68,50.71
12:09:13:105,-23.89,4.95,-45.10,51.28
12:09:13:115,-23.36,5.48,-44.87,50.89
12:09:13:125,-22.94,4.97,-45.42,51.12
12:09:13:135,-23.20,5.21,-45.20,51.08
12:09:13:155,-23.24,4.66,-44.90,50.77
12:09:13:165,-23.73,4.70,-45.32,51.37
12:09:13:175,-23.28,5.31,-44.57,50.56
12:09:13:185,-23.12,5.04,-44.99,50.84
12:09:13:205,-24.01,4.59,-44.90,51.12
12:09:13:215,-23.85,5.33,-44.66,50.91
12:09:13:225,-23.20,5.12,-44.99,50.88
12:09:13:235,-24.05,5.49,-45.19,51.48
12:09:13:255,-23.67,5.26,-44.88,51.01
12:09:13:265,-23.61,5.08,-45.42,51.44
12:09:13:275,-23.67,5.26,-44.88,51.01
12:09:13:285,-23.22,5.03,-45.10,50.98
12:09:13:305,-23.72,4.78,-45.42,51.46
12:09:13:315,-23.03,6.05,-45.29,51.17
12:09:13:325,-23.35,4.56,-45.01,50.91
12:09:13:335,-23.50,4.92,-44.68,50.72
12:09:13:355,-24.00,4.76,-45.10,51.31
12:09:13:365,-23.89,4.78,-44.47,50.70
12:09:13:375,-23.50,5.00,-44.79,50.82
12:09:13:385,-23.39,5.37,-45.41,51.36
12:09:13:405,-23.44,4.72,-45.53,51.43
12:09:13:415,-23.67,5.17,-44.46,50.63
12:09:13:425,-23.40,5.20,-45.20,51.16
12:09:13:435,-23.38,5.55,-45.41,51.37
12:09:13:455,-23.80,4.79,-44.68,50.85
12:09:13:465,-23.30,5.03,-44.88,50.82
12:09:13:475,-23.73,4.61,-45.10,51.17
12:09:13:485,-23.58,5.17,-45.20,51.24
12:09:13:505,-23.29,5.21,-44.66,50.64
12:09:13:515,-23.78,5.23,-45.52,51.62
12:09:13:525,-23.61,4.82,-44.58,50.67
12:09:13:535,-23.51,5.08,-45.84,51.76
12:09:13:555,-24.19,4.75,-44.88,51.21
12:09:13:565,-23.79,4.81,-44.25,50.47
12:09:13:575,-23.92,4.50,-44.90,51.07
12:09:13:585,-23.59,5.08,-45.09,51.14
12:09:13:605,-23.51,5.09,-45.42,51.40
12:09:13:615,-23.38,5.47,-45.41,51.36
12:09:13:625,-24.00,4.86,-45.10,51.32
12:09:13:635,-23.39,5.28,-45.09,51.07
12:09:13:655,-23.80,5.05,-45.52,51.61
12:09:13:665,-23.69,4.98,-44.88,51.00
12:09:13:675,-23.38,5.12,-44.25,50.31
12:09:13:685,-23.56,5.37,-44.77,50.88
12:09:13:705,-23.20,5.12,-45.10,50.98
12:09:13:715,-23.01,5.14,-45.20,50.98
12:09:13:725,-23.80,4.88,-44.88,51.04
