# sensor:magnetometer
# Requested Sample Rate: 15 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
11:46:52:882,-24.44,6.37,-46.37,52.80
11:46:52:922,-24.23,6.86,-46.74,53.09
11:46:53:002,-24.18,6.47,-46.38,52.71
11:46:53:082,-24.28,6.37,-46.42,52.77
11:46:53:122,-24.28,6.60,-46.81,53.14
11:46:53:202,-24.35,6.23,-46.62,52.96
11:46:53:282,-24.29,6.42,-46.27,52.65
11:46:53:322,-24.03,6.89,-46.80,53.06
11:46:53:402,-24.53,6.43,-46.38,52.87
11:46:53:482,-24.11,6.44,-45.80,52.16
11:46:53:522,-23.77,6.48,-46.53,52.65
11:46:53:602,-24.30,6.38,-46.47,52.83
11:46:53:682,-24.41,6.40,-46.48,52.89
11:46:53:722,-24.33,6.01,-46.76,53.05
11:46:53:802,-24.29,6.36,-46.21,52.59
11:46:53:882,-24.42,6.56,-46.16,52.64
11:46:53:922,-24.23,6.20,-46.23,52.56
11:46:54:002,-24.24,6.36,-46.52,52.84
11:46:54:082,-24.11,6.17,-46.58,52.81
11:46:54:122,-24.49,6.36,-47.07,53.43
11:46:54:202,-24.56,6.32,-46.82,53.25
11:46:54:282,-24.28,6.33,-46.51,52.84
11:46:54:322,-24.46,6.49,-46.47,52.91
11:46:54:402,-23.89,6.26,-46.37,52.54
11:46:54:482,-24.40,6.48,-46.79,53.16
11:46:54:522,-24.29,6.78,-46.74,53.11
11:46:54:602,-24.28,6.43,-46.35,52.72
11:46:54:682,-24.18,6.53,-46.58,52.89
11:46:54:722,-23.85,6.75,-46.67,52.84
11:46:54:802,-24.22,6.50,-46.29,52.64
11:46:54:882,-24.30,6.01,-46.40,52.72
11:46:54:962,-24.40,6.45,-46.24,52.68
11:46:55:002,-24.08,6.40,-46.40,52.67
11:46:55:082,-24.20,6.06,-46.60,52.86
11:46:55:122,-24.41,6.32,-46.34,52.75
11:46:55:202,-24.00,6.51,-46.03,52.32
11:46:55:282,-24.34,6.27,-46.34,52.71
11:46:55:322,-24.22,6.66,-46.51,52.86
11:46:55:402,-24.11,6.16,-46.34,52.59
11:46:55:482,-24.23,6.32,-46.47,52.79
11:46:55:522,-24.27,6.40,-46.45,52.79
11:46:55:602,-24.17,6.33,-46.19,52.51
11:46:55:682,-24.45,6.38,-45.84,52.34
11:46:55:722,-24.31,6.39,-46.67,53.01
11:46:55:802,-24.12,6.86,-46.29,52.64
11:46:55:882,-24.44,6.45,-46.98,53.35
11:46:55:922,-24.17,6.71,-46.87,53.16
11:46:56:002,-23.86,6.38,-46.38,52.55
11:46:56:082,-24.30,6.59,-47.02,53.34
11:46:56:122,-23.94,6.36,-46.64,52.81
11:46:56:202,-24.03,6.73,-46.46,52.74
11:46:56:282,-24.27,6.64,-46.01,52.44
11:46:56:322,-24.19,6.34,-46.41,52.72
11:46:56:402,-24.24,6.21,-46.70,52.98
11:46:56:482,-24.23,6.54,-46.76,53.07
11:46:56:522,-24.31,6.23,-46.29,52.65
11:46:56:602,-24.12,6.40,-46.65,52.91
11:46:56:682,-24.11,6.15,-45.98,52.28
11:46:56:722,-24.06,6.56,-46.19,52.49
11:46:56:802,-24.31,6.22,-46.77,53.08
11:46:56:882,-24.34,6.32,-45.65,52.12
11:46:56:962,-24.38,6.45,-46.13,52.57
11:46:57:002,-24.30,6.33,-46.65,52.98
11:46:57:082,-24.50,6.54,-45.91,52.45
11:46:57:122,-24.42,6.58,-46.40,52.84
11:46:57:202,-24.24,6.30,-46.01,52.38
11:46:57:282,-24.49,6.14,-45.91,52.39
11:46:57:322,-23.92,6.69,-46.73,52.92
11:46:57:402,-24.45,6.26,-46.46,52.87
11:46:57:482,-24.16,6.10,-46.34,52.61
11:46:57:562,-24.09,6.22,-46.58,52.81
11:46:57:602,-24.28,6.47,-46.85,53.16
11:46:57:682,-24.02,6.53,-46.57,52.80
11:46:57:722,-24.05,6.53,-46.12,52.42
11:46:57:802,-24.05,6.26,-46.56,52.77
11:46:57:882,-24.28,6.14,-46.09,52.45
11:46:57:962,-24.19,6.20,-46.52,52.80
11:46:58:002,-24.27,6.62,-46.51,52.87
