# sensor:magnetometer
# Requested Sample Rate: 40 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
11:54:48:126,-23.73,6.14,-46.45,52.52
11:54:48:146,-23.51,6.27,-45.70,51.77
11:54:48:166,-24.12,5.84,-45.60,51.92
11:54:48:206,-23.97,6.49,-45.90,52.19
11:54:48:226,-23.31,6.28,-45.70,51.69
11:54:48:246,-24.31,5.72,-45.60,52.00
11:54:48:266,-23.85,6.51,-44.94,51.30
11:54:48:306,-23.50,6.10,-44.75,50.91
11:54:48:326,-23.73,5.88,-45.60,51.74
11:54:48:346,-24.22,5.92,-45.81,52.15
11:54:48:366,-23.16,6.11,-46.24,52.07
11:54:48:406,-23.51,6.36,-45.91,51.97
11:54:48:426,-23.62,6.25,-46.02,52.10
11:54:48:446,-24.29,6.27,-46.12,52.50
11:54:48:466,-23.58,6.53,-45.80,51.93
11:54:48:506,-23.38,6.92,-46.10,52.15
11:54:48:526,-24.38,5.92,-44.75,51.30
11:54:48:546,-23.64,5.88,-45.92,51.98
11:54:48:566,-24.33,5.72,-45.81,52.18
11:54:48:606,-23.80,6.32,-46.12,52.28
11:54:48:626,-23.89,6.40,-46.12,52.33
11:54:48:646,-24.09,6.03,-45.38,51.74
11:54:48:666,-23.34,6.19,-46.24,52.16
11:54:48:706,-24.24,5.55,-45.82,52.14
11:54:48:726,-23.68,6.61,-46.12,52.26
11:54:48:746,-23.40,6.47,-45.59,51.65
11:54:48:766,-23.91,6.05,-45.49,51.75
11:54:48:806,-24.16,5.47,-46.03,52.27
11:54:48:826,-23.91,5.95,-45.27,51.55
11:54:48:846,-23.61,6.17,-45.16,51.33
11:54:48:866,-24.41,5.89,-45.92,52.34
11:54:48:906,-24.11,6.11,-45.81,52.13
11:54:48:926,-23.97,5.12,-45.30,51.51
11:54:48:946,-23.52,6.26,-46.13,52.16
11:54:48:966,-23.53,5.99,-45.92,51.95
11:54:49:006,-23.81,5.88,-44.97,51.22
11:54:49:026,-23.64,5.71,-45.51,51.60
11:54:49:046,-23.62,6.25,-46.23,52.28
11:54:49:066,-23.92,6.04,-46.02,52.22
11:54:49:106,-24.31,5.90,-45.81,52.20
11:54:49:126,-23.95,5.66,-46.14,52.29
11:54:49:146,-23.55,5.98,-46.35,52.33
11:54:49:166,-23.70,6.33,-46.02,52.15
11:54:49:206,-23.50,6.36,-45.70,51.78
11:54:49:226,-24.25,5.37,-45.73,52.04
11:54:49:246,-23.80,6.15,-45.59,51.80
11:54:49:266,-23.94,5.84,-46.24,52.39
11:54:49:306,-23.66,5.53,-45.19,51.30
11:54:49:326,-23.47,6.81,-46.10,52.18
11:54:49:346,-23.73,5.97,-45.81,51.94
11:54:49:366,-23.58,6.70,-46.43,52.51
11:54:49:406,-23.90,6.14,-45.59,51.84
11:54:49:426,-23.63,6.15,-46.24,52.29
11:54:49:446,-24.14,6.83,-45.99,52.39
11:54:49:466,-23.91,5.87,-45.29,51.55
11:54:49:506,-23.70,5.99,-44.96,51.18
11:54:49:526,-23.88,6.42,-45.37,51.67
11:54:49:546,-24.12,5.83,-45.70,52.00
11:54:49:566,-24.09,6.20,-45.91,52.22
11:54:49:606,-23.62,6.08,-45.38,51.52
11:54:49:626,-23.94,5.94,-46.24,52.40
11:54:49:646,-23.51,6.44,-46.34,52.36
11:54:49:666,-24.00,6.21,-45.91,52.17
11:54:49:706,-23.77,5.60,-45.82,51.92
11:54:49:726,-23.41,6.54,-46.43,52.41
11:54:49:746,-23.52,6.17,-45.70,51.77
11:54:49:766,-23.57,6.54,-45.26,51.45
11:54:49:806,-23.89,6.32,-45.48,51.76
11:54:49:826,-24.11,6.03,-45.70,52.02
11:54:49:846,-23.06,6.12,-46.24,52.03
11:54:49:866,-23.51,6.27,-45.48,51.58
11:54:49:906,-24.28,6.36,-46.12,52.50
11:54:49:926,-23.59,6.44,-45.80,51.92
11:54:49:946,-24.39,6.26,-46.01,52.45
11:54:49:966,-24.23,5.73,-45.71,52.05
11:54:50:006,-23.80,5.98,-44.86,51.13
11:54:50:026,-23.57,6.81,-45.90,52.04
11:54:50:046,-23.63,6.23,-46.76,52.76
11:54:50:066,-23.53,6.08,-45.81,51.86
11:54:50:106,-23.89,6.32,-45.37,51.66
11:54:50:126,-23.99,6.48,-46.23,52.48
11:54:50:146,-23.75,5.51,-45.40,51.53
11:54:50:166,-23.62,5.99,-45.18,51.33
11:54:50:206,-23.80,6.23,-45.80,51.99
11:54:50:226,-23.39,5.54,-46.25,52.12
11:54:50:246,-23.90,6.05,-45.38,51.65
11:54:50:266,-24.50,5.98,-45.59,52.10
11:54:50:306,-23.61,6.09,-45.18,51.33
11:54:50:326,-24.12,5.92,-46.02,52.29
11:54:50:346,-23.31,6.30,-45.59,51.59
11:54:50:366,-23.51,6.10,-45.07,51.19
11:54:50:406,-23.81,5.97,-45.38,51.60
11:54:50:426,-24.23,6.92,-45.88,52.35
11:54:50:446,-23.70,6.60,-46.75,52.83
11:54:50:466,-23.44,6.00,-45.92,51.90
11:54:50:506,-24.01,6.28,-46.75,52.93
11:54:50:526,-24.11,5.94,-45.27,51.64
11:54:50:546,-23.20,6.56,-46.01,51.94
11:54:50:566,-23.89,6.50,-46.01,52.24
11:54:50:606,-24.29,6.01,-45.27,51.73
11:54:50:626,-23.78,6.43,-45.59,51.82
11:54:50:646,-24.01,5.86,-45.29,51.59
11:54:50:666,-23.20,6.48,-45.80,51.75
11:54:50:706,-23.46,5.72,-45.60,51.60
11:54:50:726,-23.91,6.22,-46.12,52.32
11:54:50:746,-24.08,6.30,-45.80,52.13
11:54:50:766,-23.99,6.22,-45.38,51.71
11:54:50:806,-24.29,5.92,-45.18,51.63
11:54:50:826,-23.94,5.76,-45.81,52.01
11:54:50:846,-23.78,5.50,-46.04,52.11
11:54:50:866,-23.75,5.77,-46.35,52.40
11:54:50:906,-23.59,6.36,-45.37,51.53
11:54:50:926,-23.53,5.82,-45.29,51.37
11:54:50:946,-22.67,7.26,-46.20,51.97
11:54:50:966,-24.01,6.03,-45.81,52.07
11:54:51:006,-23.77,6.60,-45.69,51.92
11:54:51:026,-23.33,6.11,-45.27,51.30
11:54:51:046,-23.44,6.09,-46.13,52.10
11:54:51:066,-23.97,6.32,-45.05,51.43
11:54:51:106,-23.27,7.01,-46.21,52.21
11:54:51:126,-23.62,6.25,-46.13,52.20
11:54:51:146,-23.67,6.71,-45.79,51.98
11:54:51:166,-23.70,6.16,-45.38,51.57
11:54:51:206,-23.80,6.32,-45.91,52.10
11:54:51:226,-23.52,6.17,-45.91,51.95
11:54:51:246,-23.51,6.44,-46.23,52.26
11:54:51:266,-23.91,6.04,-45.70,51.93
11:54:51:306,-24.11,5.93,-45.60,51.92
11:54:51:326,-23.51,6.36,-46.02,52.07
11:54:51:346,-23.83,5.95,-45.81,51.98
11:54:51:366,-23.62,6.16,-45.81,51.91
11:54:51:406,-23.63,6.15,-46.24,52.29
11:54:51:426,-23.97,6.49,-45.80,52.10
11:54:51:446,-24.02,5.67,-45.18,51.48
11:54:51:466,-23.25,5.93,-45.71,51.63
11:54:51:506,-23.73,5.97,-45.92,52.03
