# sensor:magnetometer
# Requested Sample Rate: 100 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:06:22:764,-23.59,4.99,-44.88,50.95
12:06:22:774,-24.07,5.29,-45.51,51.75
12:06:22:784,-23.46,5.38,-44.55,50.64
12:06:22:794,-23.86,5.16,-44.35,50.62
12:06:22:804,-23.47,5.37,-45.19,51.20
12:06:22:814,-23.72,4.62,-44.69,50.80
12:06:22:824,-24.35,5.18,-44.87,51.32
12:06:22:834,-23.75,5.26,-44.55,50.76
12:06:22:844,-23.69,5.08,-44.99,51.10
12:06:22:854,-23.79,4.97,-45.10,51.23
12:06:22:864,-23.69,5.06,-45.41,51.47
12:06:22:874,-23.61,4.99,-45.20,51.24
12:06:22:884,-23.79,5.06,-44.99,51.15
12:06:22:894,-23.58,5.09,-44.88,50.96
12:06:22:904,-23.88,5.05,-44.77,50.99
12:06:22:926,-23.92,4.59,-45.01,51.18
12:06:22:936,-23.90,4.78,-44.68,50.89
12:06:22:946,-23.75,5.60,-45.51,51.64
12:06:22:956,-22.84,6.25,-45.49,51.29
12:06:22:966,-23.03,6.06,-44.86,50.79
12:06:22:976,-23.28,5.56,-45.41,51.33
12:06:22:986,-22.96,5.87,-45.40,51.21
12:06:22:996,-23.03,6.05,-45.18,51.07
12:06:23:006,-23.31,5.20,-45.63,51.50
12:06:23:016,-22.85,5.81,-44.76,50.59
12:06:23:026,-23.78,5.25,-45.09,51.25
12:06:23:036,-23.86,5.15,-44.77,51.00
12:06:23:046,-24.27,5.01,-44.98,51.35
12:06:23:056,-23.68,4.82,-43.72,49.96
12:06:23:066,-23.56,5.45,-44.66,50.79
12:06:23:076,-23.69,5.08,-44.99,51.10
12:06:23:086,-23.88,4.97,-44.46,50.71
12:06:23:096,-23.51,4.99,-45.42,51.39
12:06:23:106,-23.78,5.16,-44.77,50.96
12:06:23:116,-24.16,5.03,-44.57,50.94
12:06:23:126,-23.29,5.21,-44.99,50.93
12:06:23:136,-23.69,4.89,-44.79,50.90
12:06:23:146,-23.75,4.42,-45.54,51.55
12:06:23:156,-24.09,4.76,-44.68,50.98
12:06:23:166,-23.86,5.23,-44.87,51.09
12:06:23:176,-23.48,5.18,-45.09,51.10
12:06:23:186,-23.81,4.70,-45.01,51.13
12:06:23:196,-24.17,5.03,-44.98,51.31
12:06:23:206,-23.68,5.34,-45.41,51.49
12:06:23:216,-24.12,4.75,-45.63,51.83
12:06:23:226,-23.69,4.81,-44.25,50.42
12:06:23:236,-23.81,4.70,-45.01,51.13
12:06:23:246,-23.89,5.05,-45.20,51.37
12:06:23:257,-23.59,5.16,-45.41,51.43
12:06:23:266,-23.66,5.18,-44.25,50.44
12:06:23:276,-23.78,4.98,-44.57,50.76
12:06:23:286,-23.53,4.55,-44.69,50.71
12:06:23:296,-23.58,5.09,-44.88,50.96
12:06:23:306,-23.67,5.34,-45.19,51.29
12:06:23:316,-23.70,4.97,-45.42,51.47
12:06:23:326,-24.07,5.21,-45.20,51.47
12:06:23:336,-24.00,4.60,-44.36,50.64
12:06:23:346,-24.01,4.67,-45.21,51.41
12:06:23:356,-24.17,4.93,-44.77,51.12
12:06:23:366,-23.79,4.98,-44.77,50.95
12:06:23:376,-23.16,5.51,-44.24,50.23
12:06:23:386,-24.01,4.84,-45.53,51.70
12:06:23:396,-23.88,5.05,-44.77,50.99
12:06:23:406,-23.36,5.56,-44.98,50.99
12:06:23:416,-23.99,4.87,-44.79,51.04
12:06:23:426,-22.97,5.61,-44.76,50.62
12:06:23:436,-23.94,5.51,-44.65,50.96
12:06:23:446,-23.25,5.76,-45.19,51.15
12:06:23:456,-22.66,5.73,-44.44,50.21
12:06:23:466,-22.70,5.53,-45.62,51.25
12:06:23:476,-22.86,5.88,-45.40,51.17
12:06:23:486,-23.25,5.76,-45.08,51.05
12:06:23:496,-23.39,5.54,-46.04,51.94
12:06:23:506,-22.70,5.71,-46.14,51.74
12:06:23:516,-23.66,5.61,-45.51,51.59
12:06:23:526,-23.67,5.34,-45.30,51.39
12:06:23:536,-23.96,5.22,-44.98,51.23
12:06:23:546,-24.45,5.26,-45.19,51.65
12:06:23:556,-23.99,4.95,-44.77,51.03
12:06:23:566,-23.11,5.22,-45.20,51.03
12:06:23:576,-23.69,5.15,-45.73,51.76
12:06:23:586,-23.41,4.93,-44.79,50.78
12:06:23:596,-23.80,4.88,-44.99,51.13
12:06:23:606,-23.84,5.34,-44.13,50.44
12:06:23:616,-23.61,4.99,-45.10,51.15
12:06:23:626,-24.08,4.86,-44.79,51.08
12:06:23:636,-23.68,5.17,-44.88,51.01
12:06:23:646,-23.90,4.78,-44.79,50.99
12:06:23:656,-23.72,4.79,-45.21,51.28
12:06:23:666,-23.20,5.21,-45.41,51.26
12:06:23:676,-24.29,4.82,-45.31,51.64
12:06:23:686,-23.74,5.36,-44.35,50.59
12:06:23:696,-23.88,4.97,-44.46,50.71
12:06:23:706,-23.29,5.38,-45.41,51.32
12:06:23:716,-23.69,5.08,-45.09,51.19
12:06:23:726,-23.92,4.42,-44.58,50.79
12:06:23:736,-23.81,4.78,-45.21,51.32
12:06:23:746,-23.83,4.43,-44.58,50.74
12:06:23:756,-23.52,4.73,-44.68,50.71
12:06:23:766,-23.92,4.67,-45.53,51.65
12:06:23:776,-23.31,4.93,-45.10,51.01
12:06:23:786,-23.80,4.79,-44.57,50.75
12:06:23:796,-23.31,4.93,-45.10,51.01
12:06:23:806,-23.57,5.37,-44.87,50.97
