# sensor:magnetometer
# Requested Sample Rate: 10 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
21:43:33:011,28.68,-3.22,-30.96,42.33
21:43:33:111,28.93,-3.48,-31.61,42.99
21:43:33:211,28.66,-3.42,-31.40,42.65
21:43:33:311,28.94,-3.56,-31.09,42.62
21:43:33:411,28.79,-2.84,-31.28,42.61
21:43:33:511,28.39,-3.33,-30.65,41.91
21:43:33:611,28.95,-3.64,-30.24,42.02
21:43:33:711,29.28,-2.96,-30.76,42.57
21:43:33:811,28.76,-3.39,-31.09,42.48
21:43:33:911,28.43,-3.89,-31.10,42.31
21:43:34:011,28.66,-3.40,-30.98,42.34
21:43:34:111,28.98,-3.36,-30.23,42.01
21:43:34:211,28.93,-3.82,-30.46,42.18
21:43:34:311,28.46,-3.68,-30.56,41.92
21:43:34:411,28.99,-4.10,-30.89,42.56
21:43:34:511,28.76,-3.48,-30.87,42.33
21:43:34:611,28.34,-3.98,-30.67,41.95
21:43:34:711,28.40,-4.09,-31.63,42.71
21:43:34:811,28.55,-3.51,-31.20,42.43
21:43:34:911,28.66,-3.49,-30.66,42.11
21:43:35:011,29.06,-3.53,-29.91,41.85
21:43:35:111,28.60,-4.06,-31.41,42.68
21:43:35:211,28.49,-3.23,-30.87,42.13
21:43:35:311,28.89,-3.10,-30.44,42.08
21:43:35:411,29.05,-3.62,-30.34,42.16
21:43:35:511,28.76,-3.31,-31.50,42.78
21:43:35:611,28.90,-3.09,-30.12,41.86
21:43:35:711,28.58,-3.40,-30.44,41.90
21:43:35:811,28.50,-3.14,-30.54,41.89
21:43:35:911,28.67,-3.49,-30.55,42.04
21:43:36:011,29.66,-3.03,-30.98,42.99
21:43:36:111,28.73,-3.50,-31.61,42.86
21:43:36:211,29.06,-3.36,-30.77,42.46
21:43:36:311,28.93,-3.56,-31.40,42.84
21:43:36:411,28.76,-3.31,-31.29,42.63
21:43:36:511,28.72,-3.77,-31.31,42.65
21:43:36:611,28.60,-3.04,-30.85,42.18
21:43:36:711,28.34,-4.15,-30.04,41.50
21:43:36:811,28.43,-2.96,-30.43,41.74
21:43:36:911,28.84,-3.73,-30.35,42.04
21:43:37:011,28.29,-3.34,-30.65,41.84
21:43:37:111,28.44,-3.96,-30.35,41.78
21:43:37:211,28.24,-3.82,-31.09,42.17
21:43:37:311,28.63,-3.77,-31.20,42.51
21:43:37:411,28.76,-3.65,-30.24,41.89
21:43:37:511,28.76,-3.48,-30.77,42.26
21:43:37:611,29.15,-3.44,-30.66,42.44
21:43:37:711,28.94,-3.64,-30.45,42.17
21:43:37:811,28.67,-3.39,-30.77,42.19
21:43:37:911,28.58,-3.40,-30.34,41.82
21:43:38:011,28.60,-4.15,-31.10,42.45
21:43:38:111,28.38,-3.43,-30.66,41.92
21:43:38:211,29.05,-3.54,-30.66,42.38
21:43:38:311,28.84,-3.56,-30.88,42.40
21:43:38:411,28.78,-3.28,-30.23,41.87
21:43:38:511,28.84,-3.73,-30.24,41.96
21:43:38:611,28.87,-3.38,-30.87,42.39
21:43:38:711,28.63,-3.68,-31.20,42.50
21:43:38:811,28.76,-3.39,-31.18,42.55
21:43:38:911,29.07,-3.26,-30.44,42.22
21:43:39:011,28.96,-3.20,-31.18,42.68
21:43:39:111,29.05,-3.18,-31.61,43.05
21:43:39:211,28.88,-3.10,-30.96,42.45
21:43:39:311,28.76,-3.57,-30.66,42.19
21:43:39:411,28.89,-2.84,-31.60,42.91
21:43:39:511,28.95,-3.46,-30.77,42.39
21:43:39:611,28.19,-3.44,-30.12,41.40
21:43:39:711,28.88,-3.20,-30.98,42.47
21:43:39:811,28.66,-3.59,-30.77,42.20
21:43:39:911,28.24,-3.99,-30.46,41.73
21:43:40:011,29.07,-3.34,-30.12,42.00
21:43:40:111,28.65,-3.68,-30.99,42.36
21:43:40:211,29.15,-3.53,-30.24,42.15
21:43:40:311,28.85,-3.38,-31.09,42.55
21:43:40:411,28.13,-3.93,-31.41,42.35
21:43:40:511,28.77,-3.29,-30.76,42.24
21:43:40:611,28.46,-3.68,-30.56,41.92
21:43:40:711,28.43,-4.06,-30.78,42.09
21:43:40:811,28.72,-2.84,-30.43,41.94
21:43:40:911,28.26,-3.81,-30.67,41.88
21:43:41:011,28.38,-3.60,-29.91,41.39
21:43:41:111,28.35,-3.71,-31.09,42.24
21:43:41:211,28.34,-3.98,-30.56,41.87
21:43:41:311,28.73,-3.67,-31.31,42.65
21:43:41:411,28.83,-3.66,-31.20,42.63
21:43:41:511,29.11,-2.88,-30.11,41.98
21:43:41:611,28.71,-4.21,-30.37,42.00
21:43:41:711,28.89,-3.01,-30.85,42.38
21:43:41:811,28.91,-3.75,-31.20,42.70
21:43:41:911,29.32,-3.70,-30.88,42.74
21:43:42:011,28.96,-3.37,-30.66,42.31
21:43:42:111,28.69,-3.21,-30.55,42.03
21:43:42:211,28.50,-3.14,-30.76,42.05
21:43:42:311,28.94,-3.38,-31.40,42.84
21:43:42:411,28.74,-3.57,-30.88,42.34
21:43:42:511,28.96,-3.36,-30.44,42.15
21:43:42:611,28.57,-3.40,-30.76,42.12
21:43:42:711,28.51,-2.95,-30.85,42.11
21:43:42:811,29.22,-3.71,-30.88,42.67
21:43:42:911,29.16,-3.34,-30.66,42.44
21:43:43:011,29.17,-3.16,-30.76,42.51
21:43:43:111,29.26,-3.16,-31.18,42.88
21:43:43:211,28.52,-3.88,-31.10,42.38
21:43:43:311,27.95,-3.84,-31.09,41.98
21:43:43:411,28.36,-3.61,-30.66,41.92
21:43:43:511,28.24,-3.82,-31.09,42.17
21:43:43:611,28.66,-3.57,-30.34,41.89
21:43:43:711,28.91,-3.93,-30.99,42.56
21:43:43:811,28.49,-3.32,-30.66,41.98
21:43:43:911,28.50,-4.16,-31.21,42.47
21:43:44:011,28.67,-3.49,-30.55,42.04
21:43:44:111,28.67,-3.49,-30.55,42.04
21:43:44:211,28.45,-3.61,-30.98,42.21
21:43:44:311,28.61,-4.14,-30.78,42.23
21:43:44:411,28.94,-3.65,-30.77,42.40
21:43:44:511,28.38,-3.51,-30.45,41.77
21:43:44:611,28.18,-3.45,-30.87,41.94
21:43:44:711,28.44,-3.70,-31.09,42.29
21:43:44:811,28.69,-3.21,-30.44,41.95
21:43:44:911,28.54,-3.53,-31.83,42.89
21:43:45:011,29.04,-3.72,-30.45,42.24
21:43:45:111,28.51,-3.05,-30.54,41.89
21:43:45:211,28.56,-3.42,-30.98,42.27
21:43:45:311,28.28,-3.44,-30.76,41.92
21:43:45:411,28.83,-3.75,-30.88,42.41
21:43:45:511,29.00,-2.82,-30.74,42.36
21:43:45:611,28.73,-2.66,-30.52,42.00
21:43:45:711,28.98,-3.01,-31.50,42.91
21:43:45:811,28.36,-3.44,-31.09,42.22
